Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.6666666666666666,0.6410427807486632,160.51578521728516,10.340375661849976,620.4225397109985
classic,entropy,Irrelevant,2,3,1,0.6666666666666666,0.6410427807486632,163.83934020996094, , 
classic,entropy,Irrelevant,2,5,1,0.6666666666666666,0.6410427807486632,153.4750461578369, , 
classic,entropy,Irrelevant,2,5,3,0.6555555555555556,0.6573090909090908,143.15199851989746, , 
classic,entropy,Irrelevant,2,10,1,0.6666666666666666,0.6410427807486632,156.8887233734131, , 
classic,entropy,Irrelevant,2,10,3,0.6555555555555556,0.6573090909090908,138.9918327331543, , 
classic,entropy,Irrelevant,2,10,5,0.6555555555555556,0.6573090909090908,129.01687622070312, , 
classic,entropy,Irrelevant,2,25,1,0.6666666666666666,0.6410427807486632,148.1800079345703, , 
classic,entropy,Irrelevant,2,25,3,0.6555555555555556,0.6573090909090908,139.448881149292, , 
classic,entropy,Irrelevant,2,25,5,0.6555555555555556,0.6573090909090908,132.80391693115234, , 
classic,entropy,Irrelevant,2,25,10,0.6555555555555556,0.6573090909090908,134.3550682067871, , 
classic,entropy,Irrelevant,2,50,1,0.6666666666666666,0.6410427807486632,152.14800834655762, , 
classic,entropy,Irrelevant,2,50,3,0.6555555555555556,0.6573090909090908,138.15879821777344, , 
classic,entropy,Irrelevant,2,50,5,0.6555555555555556,0.6573090909090908,130.30695915222168, , 
classic,entropy,Irrelevant,2,50,10,0.6555555555555556,0.6573090909090908,128.94701957702637, , 
classic,entropy,Irrelevant,2,50,25,0.6555555555555556,0.6573090909090908,131.4549446105957, , 
classic,entropy,Irrelevant,3,2,1,0.6444444444444445,0.5896219421793921,425.0750541687012, , 
classic,entropy,Irrelevant,3,3,1,0.6444444444444445,0.5896219421793921,394.0579891204834, , 
classic,entropy,Irrelevant,3,5,1,0.6444444444444445,0.5896219421793921,376.18517875671387, , 
classic,entropy,Irrelevant,3,5,3,0.6555555555555556,0.6573090909090908,136.7948055267334, , 
classic,entropy,Irrelevant,3,10,1,0.6222222222222222,0.5846790890269151,324.8920440673828, , 
classic,entropy,Irrelevant,3,10,3,0.6555555555555556,0.6573090909090908,145.10798454284668, , 
classic,entropy,Irrelevant,3,10,5,0.6555555555555556,0.6573090909090908,135.5302333831787, , 
classic,entropy,Irrelevant,3,25,1,0.6666666666666666,0.6410427807486632,174.96228218078613, , 
classic,entropy,Irrelevant,3,25,3,0.6555555555555556,0.6573090909090908,136.92307472229004, , 
classic,entropy,Irrelevant,3,25,5,0.6555555555555556,0.6573090909090908,129.26697731018066, , 
classic,entropy,Irrelevant,3,25,10,0.6555555555555556,0.6573090909090908,130.47409057617188, , 
classic,entropy,Irrelevant,3,50,1,0.6666666666666666,0.6410427807486632,152.18806266784668, , 
classic,entropy,Irrelevant,3,50,3,0.6555555555555556,0.6573090909090908,143.22686195373535, , 
classic,entropy,Irrelevant,3,50,5,0.6555555555555556,0.6573090909090908,141.0539150238037, , 
classic,entropy,Irrelevant,3,50,10,0.6555555555555556,0.6573090909090908,131.4380168914795, , 
classic,entropy,Irrelevant,3,50,25,0.6555555555555556,0.6573090909090908,130.18488883972168, , 
classic,entropy,Irrelevant,4,2,1,0.6222222222222222,0.5639733135656042,649.1022109985352, , 
classic,entropy,Irrelevant,4,3,1,0.6222222222222222,0.5639733135656042,593.2211875915527, , 
classic,entropy,Irrelevant,4,5,1,0.6222222222222222,0.5639733135656042,543.1060791015625, , 
classic,entropy,Irrelevant,4,5,3,0.6555555555555556,0.6573090909090908,138.32807540893555, , 
classic,entropy,Irrelevant,4,10,1,0.6111111111111112,0.5769818367000509,390.90609550476074, , 
classic,entropy,Irrelevant,4,10,3,0.6555555555555556,0.6573090909090908,136.4431381225586, , 
classic,entropy,Irrelevant,4,10,5,0.6555555555555556,0.6573090909090908,130.8879852294922, , 
classic,entropy,Irrelevant,4,25,1,0.6666666666666666,0.6410427807486632,175.34732818603516, , 
classic,entropy,Irrelevant,4,25,3,0.6555555555555556,0.6573090909090908,137.55416870117188, , 
classic,entropy,Irrelevant,4,25,5,0.6555555555555556,0.6573090909090908,129.06694412231445, , 
classic,entropy,Irrelevant,4,25,10,0.6555555555555556,0.6573090909090908,130.70273399353027, , 
classic,entropy,Irrelevant,4,50,1,0.6666666666666666,0.6410427807486632,152.9090404510498, , 
classic,entropy,Irrelevant,4,50,3,0.6555555555555556,0.6573090909090908,141.37601852416992, , 
classic,entropy,Irrelevant,4,50,5,0.6555555555555556,0.6573090909090908,135.04981994628906, , 
classic,entropy,Irrelevant,4,50,10,0.6555555555555556,0.6573090909090908,131.15382194519043, , 
classic,entropy,Irrelevant,4,50,25,0.6555555555555556,0.6573090909090908,131.56604766845703, , 
classic,entropy,Irrelevant,5,2,1,0.6222222222222222,0.575,758.0971717834473, , 
classic,entropy,Irrelevant,5,3,1,0.6333333333333333,0.5823240589198037,672.7561950683594, , 
classic,entropy,Irrelevant,5,5,1,0.6222222222222222,0.5639733135656042,587.3892307281494, , 
classic,entropy,Irrelevant,5,5,3,0.6555555555555556,0.6573090909090908,136.89613342285156, , 
classic,entropy,Irrelevant,5,10,1,0.6111111111111112,0.5769818367000509,394.34194564819336, , 
classic,entropy,Irrelevant,5,10,3,0.6555555555555556,0.6573090909090908,137.10975646972656, , 
classic,entropy,Irrelevant,5,10,5,0.6555555555555556,0.6573090909090908,130.6469440460205, , 
classic,entropy,Irrelevant,5,25,1,0.6666666666666666,0.6410427807486632,174.73411560058594, , 
classic,entropy,Irrelevant,5,25,3,0.6555555555555556,0.6573090909090908,139.78195190429688, , 
classic,entropy,Irrelevant,5,25,5,0.6555555555555556,0.6573090909090908,130.33390045166016, , 
classic,entropy,Irrelevant,5,25,10,0.6555555555555556,0.6573090909090908,130.40518760681152, , 
classic,entropy,Irrelevant,5,50,1,0.6666666666666666,0.6410427807486632,148.23389053344727, , 
